D_R,uf,nquest,versao,pf1,pf2a,pf2b,pf2c,pf2d,idade1,idade,sexo,p41aa,p41ba,p41ab,p41bb,p41ac,p41bc,p41ad,p41bd,p41ae,p41be,p41af,p41bf,p41ag,p41bg,p41ah,p41bh,p41ai,p41bi,p41aj,p41bj,p41ak,p41bk,p41al,p41bl,p41am,p41bm,p41an,p41bn,p41ao,p41bo,p41ap,p41bp,p42a,p42b,p42c,p42d,p42e,p42f,p42g,p42h,p42i,p42j,p42k,p42l,p42m,p42n,p42o,p42p,p43a,p43b,p43c,p43d,p43f,p43g,p43h,p43i,p43j,p43k,p43l,p43m,p43n,p43o,p43p,p44,p45a,p45b,p45c,p45d,p45e,p45f,p45g,p45h,p45i,p45j,p45k,p45l,p45m,p45n,p45o,p45p,p45q,cor,pea,carro,empreg,maqlav,dvd,banhe,gelad,freezer,comput,lavlou,microon,motocic,secadora,agua,rua,escolac,escola,renda,rendaf,cidade,ponto,pesq,ciente,errol,regiao_ori,metrop_ori,meso,porte_ori,peso,RCLASSE2,INV1p45a_ok,INV1p45b_ok,INV1p45c_ok,INV1p45d,INV1p45e,INV1p45f,INV1p45g,INV1p45h,INV1p45i,INV1p45j_ok,INV1p45k_ok,INV1p45l,INV1p45m,INV1p45n,INV1p45o_ok,INV1p45p,INV1p45q,IndiceADVD,IndiceADVND,Indice_medoviolencia,GrupoMedoViolencia,INVp43a,INVp43b,INVp43c,INVp43d,INVp43f,INVp43g,INVp43h,INVp43i,INVp43j,INVp43k,INVp43l,INVp43m,INVp43n,INVp43o,INVp43p,Indice_violencia,Comput_EscalaF_6itens,Comput_EscalaF_6itens_ponderado,Comput_EscalaF_6itens_ponderado_7,Indice_EscalaF17itens_1a7
,PE,44242760,17,1,2,2,2,2,82,5,1,1,1,1,1,96,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,,2,,1,1,1,1,10,10,996,10,10,10,9,10,10,10,5,8,0,0,9,10,2,2,996,2,2,2,2,2,2,2,2,2,2,2,2,3,1,1,1,3,1,1,1,6,6,1,1,1,1,1,1,1,6,2,12,96,96,1,1,2,1,1,96,96,1,96,96,1,2,1,1,1,1,1927,19,2329,1,0,3,3,2,2,"1,12150448",5,"6,00","6,00","6,00","4,00","6,00","6,00","6,00","1,00","1,00","6,00","6,00","6,00","6,00","6,00","6,00","6,00","1,00","1,00","6,00","0,81",,"0,00","0,00",,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","6,00","1,00","7,00","7,00"
,RS,44256947,17,1,2,2,2,2,64,5,1,1,1,1,1,96,,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,,2,,1,1,1,1,1,2,2,,5,5,996,0,5,0,5,5,5,0,0,0,5,0,0,8,2,2,996,2,2,2,2,2,2,2,2,2,2,2,1,2,1,1,1,1,6,6,1,1,6,1,1,1,6,1,1,1,6,1,12,96,96,1,1,1,1,96,96,96,1,96,1,1,1,1,1,2,2,"1299,6579",2,9612,1,0,2,3,1,1,"1,12619283",5,"6,00","6,00","6,00","6,00","1,00","1,00","6,00","6,00","1,00","6,00","6,00","6,00","1,00","6,00","6,00","6,00","1,00","1,00","6,00","0,75",,"0,00","0,00",,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","1,00","0,07","6,00","1,00","7,00","7,00"
,BA,44285261,17,1,2,2,2,2,55,4,1,2,,2,,96,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,4,6,996,7,7,4,7,8,4,7,2,5,4,4,5,6,2,2,996,2,2,2,2,2,2,2,2,2,2,2,2,99,1,1,1,1,1,1,1,1,1,1,1,1,6,1,1,1,1,3,15,96,96,96,96,1,1,96,96,96,96,96,96,1,2,1,1,1,1,1888,4,1,1,0,3,3,5,1,"1,35167161",6,"6,00","6,00","6,00","6,00","6,00","6,00","6,00","6,00","6,00","6,00","6,00","6,00","1,00","6,00","6,00","6,00","6,00","1,00","6,00","0,00","0,00","0,00","0,00",,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","6,00","1,00","7,00","7,00"
,BA,44286432,17,1,2,2,2,2,33,2,2,1,1,1,1,96,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,7,996,5,6,6,5,3,3,3,2,5,6,3,5,3,2,2,996,2,2,2,2,2,2,2,2,2,2,2,2,99,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,11,96,96,96,96,1,1,96,96,96,96,96,96,1,1,1,1,99,99,1888,1,9234,1,0,3,3,5,1,"0,75326453",6,"6,00","6,00","6,00","6,00","6,00","6,00","6,00","6,00","6,00","6,00","6,00","6,00","6,00","6,00","6,00","6,00","6,00","1,00","6,00","0,94","1,00","0,00","0,00",,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","6,00","1,00","7,00","7,00"
,SP,44295180,17,1,2,2,2,2,55,4,2,1,1,1,1,96,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,996,0,0,0,0,9,0,0,0,0,0,10,0,10,2,2,996,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,6,1,1,1,1,3,11,96,96,96,96,1,1,96,96,96,96,96,96,1,1,2,1,1,1,"499,6267",2,4987,1,0,1,3,7,1,"0,97788779",6,"6,00","6,00","6,00","6,00","6,00","6,00","6,00","6,00","6,00","6,00","6,00","6,00","1,00","6,00","6,00","6,00","6,00","1,00","6,00","0,94","1,00","0,00","0,00",,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","6,00","1,00","7,00","7,00"
,CE,44392839,17,1,2,2,2,2,77,5,1,1,1,2,,96,,1,2,1,1,1,2,1,1,1,2,1,2,1,1,2,,2,,1,1,2,,1,1,1,1,2,0,996,1,2,2,2,1,2,7,0,0,6,0,6,3,2,2,996,2,2,2,2,2,2,2,2,2,2,2,2,3,1,1,1,2,1,2,1,1,1,1,1,1,5,1,1,2,2,3,12,96,96,96,96,1,1,96,96,96,96,1,96,1,98,1,1,1,1,2258,6,8286,1,0,3,3,1,1,"1,12150448",6,"6,00","6,00","6,00","5,00","6,00","5,00","6,00","6,00","6,00","6,00","6,00","6,00","2,00","6,00","6,00","5,00","5,00","1,00","6,00","0,69",,"0,00","0,00",,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","6,00","1,00","7,00","7,00"
,MT,44203009,17,1,2,2,2,2,63,5,2,1,1,1,1,1,1,1,1,1,1,2,,1,1,1,1,1,1,1,1,2,,2,,1,1,1,1,1,1,1,1,0,5,2,5,5,0,0,10,8,5,0,3,10,5,5,0,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,1,1,1,1,5,1,1,1,2,1,1,1,6,1,1,1,6,3,12,96,96,1,1,1,1,96,96,96,96,96,1,1,1,1,1,1,1,3514,15,8866,1,0,4,3,5,2,"1,09356604",6,"6,00","6,00","6,00","6,00","2,00","6,00","6,00","6,00","5,00","6,00","6,00","6,00","1,00","6,00","6,00","6,00","1,00","1,00","6,00","0,81",,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","1,00","0,00","0,00","0,00","0,00","0,00","0,00","0,07","6,00","1,00","7,00","7,00"
,MA,44216413,17,1,2,2,2,2,43,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,,1,1,1,1,1,1,1,1,0,6,0,0,0,0,0,0,8,0,4,0,7,0,0,5,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,4,1,1,1,6,1,6,1,6,6,1,1,1,6,1,1,6,1,3,7,96,96,96,1,96,1,96,96,96,96,96,96,1,2,1,1,1,1,4072,1,9258,1,0,3,3,2,1,"1,24256908",6,"6,00","6,00","6,00","1,00","6,00","1,00","6,00","1,00","1,00","6,00","6,00","6,00","1,00","6,00","6,00","1,00","6,00","1,00","6,00","0,94","1,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","1,00","0,07","6,00","1,00","7,00","7,00"
,SP,44242630,17,1,2,2,2,2,74,5,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,10,9,9,8,10,6,8,8,10,10,8,5,10,10,10,7,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,1,1,1,3,1,1,1,3,1,1,1,6,6,6,1,2,5,1,12,96,96,1,1,1,1,1,96,96,96,96,96,1,1,1,1,1,1,155,160,13255,1,0,1,3,13,3,"1,47605971",6,"6,00","6,00","6,00","4,00","6,00","6,00","6,00","4,00","6,00","6,00","6,00","1,00","1,00","1,00","6,00","5,00","2,00","1,00","6,00","1,00","1,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","6,00","1,00","7,00","7,00"
,RN,44243244,17,1,2,2,2,2,60,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,,2,,1,1,1,1,1,1,1,1,10,10,10,10,10,10,10,10,10,10,0,0,10,10,10,7,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,4,1,1,1,1,3,1,1,1,3,1,1,1,6,1,1,1,1,1,4,1,96,96,1,1,1,96,96,96,96,1,96,1,1,1,1,1,1,4501,6,9218,1,0,3,3,1,2,"1,12150448",6,"6,00","6,00","6,00","6,00","4,00","6,00","6,00","6,00","4,00","6,00","6,00","6,00","1,00","6,00","6,00","6,00","6,00","1,00","6,00","0,88",,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","1,00","0,07","6,00","1,00","7,00","7,00"
