idade;sexo;p41aa;p41ab;p41ad;p41ae;p41af;p41ag;p41ah;p41ai;p41aj;p41ak;p41al;p41am;p41an;p41ao;p41ap;p42a;p42b;p42d;p42e;p42f;p42g;p42h;p42i;p42j;p42k;p42l;p42m;p42n;p42o;p42p;p43a;p43b;p43d;p43f;p43g;p43h;p43i;p43j;p43k;p43l;p43m;p43n;p43o;p43p;cor;carro;empreg;maqlav;dvd;banhe;gelad;freezer;comput;lavlou;microon;motocic;secadora;agua;rua;escola;renda;RCLASSE2;INV1p45a;INV1p45b;INV1p45c;INV1p45d;INV1p45e;INV1p45f;INV1p45g;INV1p45h;INV1p45i;INV1p45j;INV1p45k;INV1p45l;INV1p45m;INV1p45n;INV1p45o;INV1p45p;INV1p45q
82;1;1;1;1;1;1;1;1;1;1;1;1;2;2;1;1;10;10;10;10;10;9;10;10;10;5;8;0;0;9;10;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;96;96;1;1;2;1;1;96;96;1;96;96;1;2;1;1;5;6;6;6;4;6;6;6;1;1;6;6;6;6;6;6;6;1
64;1;1;1;1;1;1;1;1;1;1;2;2;1;1;1;2;5;5;0;5;0;5;5;5;0;0;0;5;0;0;8;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;96;96;1;1;1;1;96;96;96;1;96;1;1;1;1;2;5;6;6;6;6;1;1;6;6;1;6;6;6;1;6;6;6;1
55;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;4;6;7;7;4;7;8;4;7;2;5;4;4;5;6;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;96;96;96;96;1;1;96;96;96;96;96;96;1;2;1;1;6;6;6;6;6;6;6;6;6;6;6;6;6;1;6;6;6;6
33;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;5;7;5;6;6;5;3;3;3;2;5;6;3;5;3;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;96;96;96;96;1;1;96;96;96;96;96;96;1;1;1;99;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6
55;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;9;0;0;0;0;0;10;0;10;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;96;96;96;96;1;1;96;96;96;96;96;96;1;1;1;1;6;6;6;6;6;6;6;6;6;6;6;6;6;1;6;6;6;6
77;1;1;2;1;1;1;1;1;1;1;2;2;1;2;1;1;2;0;1;2;2;2;1;2;7;0;0;6;0;6;3;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;96;96;96;96;1;1;96;96;96;96;1;96;1;98;1;1;6;6;6;6;5;6;5;6;6;6;6;6;6;2;6;6;5;5
63;2;1;1;1;1;2;1;1;1;1;2;2;1;1;1;1;0;5;5;5;0;0;10;8;5;0;3;10;5;5;0;2;2;2;2;2;2;2;1;2;2;2;2;2;2;3;96;96;1;1;1;1;96;96;96;96;96;1;1;1;1;1;6;6;6;6;6;2;6;6;6;5;6;6;6;1;6;6;6;1
43;1;1;1;1;1;1;1;1;1;1;1;2;1;1;1;1;0;6;0;0;0;0;0;8;0;4;0;7;0;0;5;2;2;2;2;2;2;2;2;2;2;2;2;2;1;3;96;96;96;1;96;1;96;96;96;96;96;96;1;2;1;1;6;6;6;6;1;6;1;6;1;1;6;6;6;1;6;6;1;6
74;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;10;9;8;10;6;8;8;10;10;8;5;10;10;10;7;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;96;96;1;1;1;1;1;96;96;96;96;96;1;1;1;1;6;6;6;6;4;6;6;6;4;6;6;6;1;1;1;6;5;2
60;1;1;1;1;1;1;1;1;1;1;2;2;1;1;1;1;10;10;10;10;10;10;10;10;10;0;0;10;10;10;7;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;1;96;96;1;1;1;96;96;96;96;1;96;1;1;1;1;6;6;6;6;6;4;6;6;6;4;6;6;6;1;6;6;6;6
68;2;1;1;2;1;2;1;1;1;1;1;2;1;1;1;2;3;2;3;2;3;2;2;3;8;3;2;2;2;5;3;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;96;96;96;1;1;1;96;96;96;96;96;96;2;2;1;1;6;6;6;6;6;6;6;6;6;6;6;6;6;5;6;6;6;6
63;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;2;3;2;0;1;1;1;2;8;2;2;2;2;2;0;2;2;2;2;2;2;2;1;2;2;2;2;2;1;3;1;96;96;96;1;1;96;96;96;96;96;96;2;1;1;1;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6
42;2;1;1;1;2;1;1;1;1;1;2;2;1;2;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;96;96;1;96;1;1;96;96;96;96;96;1;1;1;1;97;6;6;6;6;6;1;6;4;6;6;6;6;6; ;6;6;6;6
54;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;10;10;2;10;10;3;5;10;5;10;10;10;8;10;0;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;96;96;96;96;1;1;1;96;96;1;1;96;1;1;1;1;6;6;6;6;6;6;1;6;6;1;6;6;6;6;6;6;1;6
